config_name,n_samples,d_dim,dgp_num,n_runs,nonlinearity,interaction,sparse_k,skewness,heterogeneous,true_effect,true_theta,noise_std,bias,rmse,variance,coverage_rate,rejection_rate,mean_estimate,rho,s1,a0,a1,b0,b1
hete_0.5,100,20,3,100,0.0,0.0,0,0.3,0.5,1.0,1.0023938359516336,1.0,-0.0450710189706016,0.153519922169379,0.0247823761878027,0.93,0.07,0.957322816981032,0.7,1.0,1.0,0.25,1.0,0.25
noise_0.5,100,20,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.5,-0.0311056518084452,0.1051246484563214,0.0100836301386369,0.91,0.09,0.9688943481915548,0.7,1.0,1.0,0.25,1.0,0.25
noise_1.0,100,20,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,-0.0321082989173022,0.1058796943995717,0.0101795668267838,0.91,0.09,0.9678917010826976,0.7,1.0,1.0,0.25,1.0,0.25
noise_2.0,100,20,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,2.0,-0.0328147267784165,0.1065251725914614,0.0102708061020985,0.91,0.09,0.9671852732215832,0.7,1.0,1.0,0.25,1.0,0.25
s1_0.5,100,20,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,-0.031753000443033,0.1059987545022679,0.0102274829188968,0.91,0.09,0.968246999556967,0.7,0.5,1.0,0.25,1.0,0.25
s1_1.0,100,20,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,-0.0300960703462632,0.1082207164095974,0.0108059500099192,0.9,0.1,0.9699039296537368,0.7,1.0,1.0,0.25,1.0,0.25
s1_2.0,100,20,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,-0.0267427379062586,0.1111145342707522,0.0116312656954833,0.89,0.11,0.9732572620937412,0.7,2.0,1.0,0.25,1.0,0.25
ind_nl_mD,100,20,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,-0.0272380877468026,0.1115130274439602,0.0116932418656149,0.89,0.11,0.9727619122531972,0.7,1.0,0.0,2.0,1.0,0.25
ind_nl_mY,100,20,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,-0.0270843914853304,0.1116325902575809,0.0117282709454863,0.89,0.11,0.9729156085146696,0.7,1.0,1.0,0.25,2.0,0.0
ind_nl_both,100,20,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,-0.0241527998137227,0.1088296219727424,0.0112605288798882,0.9,0.1,0.9758472001862774,0.7,1.0,0.0,2.0,2.0,0.0
