config_name,n_samples,d_dim,dgp_num,n_runs,nonlinearity,interaction,sparse_k,skewness,heterogeneous,true_effect,noise_std,bias,rmse,variance,coverage_rate,rejection_rate,mean_estimate,rho,s1,a0,a1,b0,b1
hete_0.15,100,5,3,100,0.0,0.0,0,0.3,0.15,1.0,1.0,-0.0030341534921735,0.1133507848890824,0.0128391943475569,0.86,1.0,0.9969658465078264,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.3,100,5,3,100,0.0,0.0,0,0.3,0.3,1.0,1.0,-0.0016360470852739,0.1120707900293367,0.0125571853277344,0.87,1.0,0.998363952914726,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.5,100,5,3,100,0.0,0.0,0,0.3,0.5,1.0,1.0,-0.0035587575561826,0.110178534729456,0.0121266447597862,0.88,1.0,0.9964412424438174,0.7,1.0,1.0,0.25,1.0,0.25
noise_0.5,100,5,3,100,0.0,0.0,0,0.3,0.0,1.0,0.5,-0.0033593625017144,0.1102051436334249,0.0121338883668458,0.88,1.0,0.9966406374982856,0.7,1.0,1.0,0.25,1.0,0.25
noise_1.0,100,5,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0011377767186345,0.1114968422044839,0.0124302512857101,0.88,1.0,0.9988622232813654,0.7,1.0,1.0,0.25,1.0,0.25
noise_2.0,100,5,3,100,0.0,0.0,0,0.3,0.0,1.0,2.0,-0.0031199484669117,0.1113173991772485,0.0123818292811507,0.88,1.0,0.9968800515330882,0.7,1.0,1.0,0.25,1.0,0.25
rho_0.3,100,5,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0024098008748254,0.1110735515404386,0.0123315267115501,0.88,1.0,0.9975901991251744,0.3,1.0,1.0,0.25,1.0,0.25
rho_0.5,100,5,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0021606734243795,0.1108089335676449,0.0122739512487519,0.88,1.0,0.9978393265756204,0.5,1.0,1.0,0.25,1.0,0.25
rho_0.7,100,5,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.0011282009361979,0.1134028318928522,0.012858929443966,0.87,1.0,1.001128200936198,0.7,1.0,1.0,0.25,1.0,0.25
s1_0.5,100,5,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.0003205221512758,0.1129823217963335,0.0127649023040408,0.87,1.0,1.000320522151276,0.7,0.5,1.0,0.25,1.0,0.25
s1_1.0,100,5,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0004010976659926,0.1122550175792303,0.0126010280923756,0.87,1.0,0.9995989023340074,0.7,1.0,1.0,0.25,1.0,0.25
s1_2.0,100,5,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0019656969837165,0.1106699531568582,0.0122439745671093,0.88,1.0,0.9980343030162836,0.7,2.0,1.0,0.25,1.0,0.25
0_基准,200,3,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0244409698915231,0.0852149460679523,0.0066642260241256,0.94,1.0,0.9755590301084768,0.7,1.0,1.0,0.25,1.0,0.25
inter_0.25,200,3,2,100,0.0,0.25,0,0.3,0.0,1.0,1.0,-0.0186552035001521,0.0910619128966416,0.0079442553627634,0.91,1.0,0.9813447964998478,0.7,1.0,1.0,0.25,1.0,0.25
inter_0.5,200,3,2,100,0.0,0.5,0,0.3,0.0,1.0,1.0,-0.0147333977764648,0.1109438324448973,0.0120914609475219,0.9,1.0,0.9852666022235352,0.7,1.0,1.0,0.25,1.0,0.25
inter_1.0,200,3,2,100,0.0,1.0,0,0.3,0.0,1.0,1.0,-0.0030314761494666,0.1686020901757252,0.0284174749639786,0.89,1.0,0.9969685238505334,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.15,200,3,2,100,0.0,0.0,0,0.3,0.15,1.0,1.0,-0.0191784995724187,0.093028294592739,0.0082864487489841,0.91,1.0,0.9808215004275812,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.3,200,3,2,100,0.0,0.0,0,0.3,0.3,1.0,1.0,-0.0182909854088519,0.1011165540131621,0.0098899973482699,0.88,1.0,0.981709014591148,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.5,200,3,2,100,0.0,0.0,0,0.3,0.5,1.0,1.0,-0.015541630716416,0.1169840494062485,0.0134437255301581,0.89,1.0,0.984458369283584,0.7,1.0,1.0,0.25,1.0,0.25
noise_0.5,200,3,2,100,0.0,0.0,0,0.3,0.0,1.0,0.5,-0.0114879799010191,0.0479527322598937,0.0021674908489828,0.88,1.0,0.9885120200989808,0.7,1.0,1.0,0.25,1.0,0.25
noise_1.0,200,3,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0227185965401013,0.0920019917280358,0.0079482318531736,0.92,1.0,0.9772814034598988,0.7,1.0,1.0,0.25,1.0,0.25
noise_2.0,200,3,2,100,0.0,0.0,0,0.3,0.0,1.0,2.0,-0.0406570844067468,0.1752143381166136,0.0290470657691856,0.9,1.0,0.9593429155932532,0.7,1.0,1.0,0.25,1.0,0.25
rho_0.3,200,3,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0227087371145516,0.092364933660838,0.0080155942288332,0.88,1.0,0.9772912628854484,0.3,1.0,1.0,0.25,1.0,0.25
rho_0.5,200,3,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0215930858771364,0.0889698474035793,0.0074493723893188,0.91,1.0,0.9784069141228636,0.5,1.0,1.0,0.25,1.0,0.25
rho_0.7,200,3,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0249031218186551,0.0908490799513734,0.0076333898516962,0.92,1.0,0.9750968781813448,0.7,1.0,1.0,0.25,1.0,0.25
s1_0.5,200,3,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0441859011459585,0.1724684117648062,0.0277929591965943,0.88,1.0,0.9558140988540414,0.7,0.5,1.0,0.25,1.0,0.25
s1_1.0,200,3,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0250392987617842,0.0905970785932111,0.0075808641671425,0.92,1.0,0.9749607012382158,0.7,1.0,1.0,0.25,1.0,0.25
s1_2.0,200,3,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0099460863925184,0.0437782407494518,0.0018176097285895,0.91,1.0,0.9900539136074816,0.7,2.0,1.0,0.25,1.0,0.25
0_基准,200,3,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0156132640604381,0.0914378455169333,0.0081171055781575,0.85,1.0,0.9843867359395618,0.7,1.0,1.0,0.25,1.0,0.25
inter_0.25,200,3,3,100,0.0,0.25,0,0.3,0.0,1.0,1.0,-0.0135376989315625,0.0896812859937107,0.0078594637651241,0.86,1.0,0.9864623010684376,0.7,1.0,1.0,0.25,1.0,0.25
inter_0.5,200,3,3,100,0.0,0.5,0,0.3,0.0,1.0,1.0,-0.0146107983399046,0.0891730660011395,0.0077383602719142,0.86,1.0,0.9853892016600954,0.7,1.0,1.0,0.25,1.0,0.25
inter_1.0,200,3,3,100,0.0,1.0,0,0.3,0.0,1.0,1.0,-0.0161389414167679,0.0891590508603148,0.0076888709202583,0.86,1.0,0.983861058583232,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.15,200,3,3,100,0.0,0.0,0,0.3,0.15,1.0,1.0,-0.0156478101860468,0.089723448804896,0.0078054433018262,0.86,1.0,0.9843521898139532,0.7,1.0,1.0,0.25,1.0,0.25
