config_name,n_samples,d_dim,dgp_num,n,W,p_shapiro,A2,reject_shapiro,reject_ad,reject_both
hete_0.15,100,30,3,100,0.9919855382417542,0.8201769838291787,0.3699564806852038,False,False,False
hete_0.3,100,30,3,100,0.992579513589736,0.8614509127064602,0.3343329153029089,False,False,False
hete_0.5,100,30,3,100,0.992614505978009,0.8637551251273087,0.33241976684907115,False,False,False
noise_0.5,100,30,3,100,0.9930140981577765,0.8889079647287594,0.30553660891996515,False,False,False
noise_1.0,100,30,3,100,0.9924354372818455,0.8518040298155467,0.3403007838905836,False,False,False
noise_2.0,100,30,3,100,0.9926220925451835,0.8642526417935525,0.3279966815596964,False,False,False
rho_0.3,100,30,3,100,0.9928672307401203,0.8799199701414541,0.3077039704888449,False,False,False
rho_0.5,100,30,3,100,0.9931104945993132,0.8946357767319127,0.2809923355362116,False,False,False
rho_0.7,100,30,3,100,0.9936139307949836,0.9221809946065079,0.26075746029680147,False,False,False
s1_0.5,100,30,3,100,0.9927062169277701,0.869719580574464,0.29030177668484214,False,False,False
s1_1.0,100,30,3,100,0.992247261325665,0.8388379029158317,0.2703314439462332,False,False,False
s1_2.0,100,30,3,100,0.991189004681654,0.7598570547221768,0.287107846150775,False,False,False
0_基准,200,10,2,100,0.9900504609887371,0.6686735226416705,0.43706837325950687,False,False,False
inter_0.25,200,10,2,100,0.9846575998850836,0.29996174086701943,0.4227117104496614,False,False,False
inter_0.5,200,10,2,100,0.9870548369294928,0.4413239273705083,0.4259165637515423,False,False,False
inter_1.0,200,10,2,100,0.9909978081349116,0.7448014555204877,0.20117386846528973,False,False,False
hete_0.15,200,10,2,100,0.981622491539931,0.17749778148466716,0.4154755056432009,False,False,False
hete_0.3,200,10,2,100,0.9833841681504413,0.2415285567964247,0.4164411992560417,False,False,False
hete_0.5,200,10,2,100,0.98895266868126,0.580851587204442,0.3297929746123742,False,False,False
noise_0.5,200,10,2,100,0.991890996822216,0.8132735586323858,0.3542479157215297,False,False,False
noise_1.0,200,10,2,100,0.9908887875672109,0.7361482098156912,0.40392772761394724,False,False,False
noise_2.0,200,10,2,100,0.9913757677654462,0.7743862774200312,0.3262643348475365,False,False,False
rho_0.3,200,10,2,100,0.9773400754960645,0.08232119279548467,0.8783218865661127,False,True,False
rho_0.5,200,10,2,100,0.9823594505170875,0.20209798276350355,0.592644306504198,False,False,False
rho_0.7,200,10,2,100,0.9902077444835959,0.6813944583167812,0.41706373523874163,False,False,False
s1_0.5,200,10,2,100,0.9916166817794492,0.792813268901948,0.2831705974701464,False,False,False
s1_1.0,200,10,2,100,0.9896318008322467,0.6348845361677402,0.4496330316019055,False,False,False
s1_2.0,200,10,2,100,0.9831399892437132,0.23154840024811657,0.5999379742050763,False,False,False
0_基准,200,10,3,100,0.9728048699569253,0.03637896806263983,0.956241840630284,True,True,True
inter_0.25,200,10,3,100,0.9703299086834133,0.023429637011954895,1.022458075395619,True,True,True
inter_0.5,200,10,3,100,0.9703511620835165,0.02351775606942401,1.0187755848069742,True,True,True
inter_1.0,200,10,3,100,0.9679169392130649,0.015346837567949554,1.098432645803797,True,True,True
hete_0.15,200,10,3,100,0.9684136396393691,0.01673462066874313,1.0753576154136226,True,True,True
hete_0.3,200,10,3,100,0.9704435965786675,0.023904997380014677,0.9885513439632092,True,True,True
hete_0.5,200,10,3,100,0.9710578526462577,0.026651115369750785,0.9622710223961803,True,True,True
noise_0.5,200,10,3,100,0.971114762912025,0.026921477163374764,0.9597782688427685,True,True,True
noise_1.0,200,10,3,100,0.9672149117049242,0.013585945308557687,1.040827336159964,True,True,True
noise_2.0,200,10,3,100,0.967632375008412,0.014606104307309832,1.0243083053885442,True,True,True
rho_0.3,200,10,3,100,0.9682949901526892,0.016391694557002165,1.023255891117202,True,True,True
rho_0.5,200,10,3,100,0.968337088956375,0.016512528593094072,1.024210149266608,True,True,True
rho_0.7,200,10,3,100,0.971183527572373,0.027251927912143738,0.9726719901519232,True,True,True
s1_0.5,200,10,3,100,0.9775787935853052,0.08594873883214225,0.8054267828528339,False,True,False
s1_1.0,200,10,3,100,0.9755509703333402,0.05959218777738615,0.8733456820114327,False,True,False
s1_2.0,200,10,3,100,0.9762553262824182,0.06767173755684265,0.8277670481657253,False,True,False
0_基准,200,20,2,100,0.9796366920244755,0.12454474255388409,0.30751314878325786,False,False,False
inter_0.25,200,20,2,100,0.9828062608009892,0.21850894810655175,0.704070457861917,False,False,False
inter_0.5,200,20,2,100,0.9875626136391074,0.4765378967264804,0.4085048003465914,False,False,False
inter_1.0,200,20,2,100,0.9867849685632614,0.42332893398753085,0.28860182073444207,False,False,False
hete_0.15,200,20,2,100,0.9827347958110998,0.2158048049437677,0.6772212682827785,False,False,False
hete_0.3,200,20,2,100,0.9799448139774583,0.13162542964597806,0.7382699055966953,False,False,False
hete_0.5,200,20,2,100,0.9870817307613128,0.44314512039965487,0.45567913263498383,False,False,False
