config_name,n_samples,d_dim,dgp_num,n,W,p_shapiro,A2,reject_shapiro,reject_ad,reject_both
noise_0.5,200,20,2,100,0.9821223163129218,0.19385634529385581,0.6018173510938283,False,False,False
noise_1.0,200,20,2,100,0.9866455756797731,0.4142360969849481,0.356354885078062,False,False,False
noise_2.0,200,20,2,100,0.9854119797656302,0.3399274519750076,0.40352747899333963,False,False,False
rho_0.3,200,20,2,100,0.9864404302311148,0.4011080364704711,0.34539096084824905,False,False,False
rho_0.5,200,20,2,100,0.9951968163387684,0.9799043290359518,0.18800736581171407,False,False,False
rho_0.7,200,20,2,100,0.9860143755242052,0.374821225749318,0.37567949952243396,False,False,False
s1_0.5,200,20,2,100,0.9861978883433249,0.38598089412857695,0.30640942130931137,False,False,False
s1_1.0,200,20,2,100,0.987004372711558,0.43792014472513696,0.3287705228551516,False,False,False
s1_2.0,200,20,2,100,0.9889058002687019,0.5771786424089478,0.4296556649838408,False,False,False
0_基准,200,20,3,100,0.9889031683834926,0.576972647643895,0.28315185946068766,False,False,False
inter_0.25,200,20,3,100,0.989055607591168,0.5889482045342262,0.2844358739601347,False,False,False
inter_0.5,200,20,3,100,0.9898329252546456,0.6510932336198539,0.3034787569737034,False,False,False
inter_1.0,200,20,3,100,0.990262206921364,0.6857979440591353,0.284584159250187,False,False,False
hete_0.15,200,20,3,100,0.9908106210490216,0.7299179350561369,0.2536863965943468,False,False,False
hete_0.3,200,20,3,100,0.9914866487504823,0.782915226639413,0.2233228722992351,False,False,False
hete_0.5,200,20,3,100,0.9905940095732116,0.7125604166081526,0.26137259044365635,False,False,False
noise_0.5,200,20,3,100,0.9906445361074301,0.7166197263233461,0.25894064595397026,False,False,False
noise_1.0,200,20,3,100,0.9910320329005167,0.7475083516023027,0.24035894332754992,False,False,False
noise_2.0,200,20,3,100,0.9909050469362749,0.737441555450473,0.23820345526766573,False,False,False
rho_0.3,200,20,3,100,0.9907850652838075,0.7278767627123472,0.243877748900573,False,False,False
rho_0.5,200,20,3,100,0.9898205759454431,0.6500964112983321,0.2904185976391176,False,False,False
rho_0.7,200,20,3,100,0.9908919254889034,0.7363978874091351,0.24992626408300112,False,False,False
s1_0.5,200,20,3,100,0.9905678663695703,0.7104579373773738,0.26851845182984846,False,False,False
s1_1.0,200,20,3,100,0.9926365470638806,0.8651985108867196,0.2193190144310364,False,False,False
s1_2.0,200,20,3,100,0.9928831063327211,0.8809063633036269,0.20416018466035268,False,False,False
0_基准,200,30,2,100,0.982516222562973,0.20772280374497282,0.555951400611562,False,False,False
inter_0.25,200,30,2,100,0.9775807349645466,0.08597888319453714,0.8314304214093369,False,True,False
inter_0.5,200,30,2,100,0.972474403651335,0.03429274239023575,1.0081698217217223,True,True,True
inter_1.0,200,30,2,100,0.9673375955760052,0.013877831035769072,0.8889801249869578,True,True,True
